"Term","Frequency","Correlation"
"fulfil",7,0.350432985747113
"commission",13,0.350404939342841
"privileg",26,0.349798420536868
"avoc",5,0.349145668784504
"close",6,0.349025419058592
"blanket",5,0.347528468382665
"lumber",7,0.347284295993381
"case",14,0.346706425038887
"provinc",33,0.34645227389411
"annual",12,0.345050886758443
"regard",8,0.345047087239647
"appropri",9,0.344683062197924
"requir",16,0.34421639435494
"twentyf",13,0.344108676865855
"offend",13,0.343689472377518
"make",35,0.343650275089493
"interfer",14,0.343202589998806
"approxim",6,0.341145131940711
"advantag",10,0.340954186554652
"diminish",5,0.337681983287063
"flag",9,0.336742747761897
"alreadi",11,0.336502804039406
"westward",8,0.336274752109563
"war",8,0.334858782011677
"headman",6,0.334168698973479
"possibl",11,0.333778621305704
"usual",8,0.333427156040097
"june",12,0.333370628130716
"oxen",6,0.333274141898871
"annum",5,0.332655617600165
"recogn",7,0.33254667257975
"encourag",6,0.331701674426102
"hold",31,0.330951555692852
"saskatchewan",6,0.330433187069165
"handsaw",6,0.32922367374055
"excel",15,0.328810255460018
"enough",6,0.328800767474593
"ordinari",6,0.328800767474593
"recognit",6,0.328608397424583
"silver",5,0.328208152854526
"enact",7,0.327584888472726
"loss",5,0.327041318572438
"barley",6,0.326043056213986
"hoe",6,0.326043056213986
"oat",6,0.326043056213986
"potato",6,0.326043056213986
"scyth",6,0.326043056213986
"spade",6,0.326043056213986
"wheat",6,0.326043056213986
"rapid",7,0.325893889076305
"asid",12,0.325109614429001
"sole",9,0.32499506038184
"suit",11,0.324501303863511
"summer",8,0.324313818303598
"broken",8,0.323756740782501
"british",7,0.322970100317562
"fli",6,0.32295636082736
"infring",12,0.322341910649461
"height",7,0.32228820760109
"nova",4,0.322100551617048
"scotia",4,0.322100551617048
"accord",19,0.321926447156833
"mean",6,0.32169845854823
"conform",7,0.321241324310253
"hereunto",33,0.321133791401797
"work",8,0.321033634286073
"habit",5,0.318540947862879
"other",14,0.318521715058914
"whatsoev",18,0.317857779412371
"cross",12,0.317324923463979
"cattl",6,0.315931967036123
"equival",6,0.315919691084893
"john",15,0.31563156756614
"fact",6,0.313379625999902
"portag",5,0.311940153526144
"see",6,0.311589938144914
"belong",26,0.311552118732645
"headmen",12,0.311530664629266
"manitoba",9,0.310377828733836
"per",11,0.310247279680143
"lake",35,0.30983108529289
"honour",14,0.309642865322366
"good",31,0.309049823262435
"yet",6,0.308881644190146
"councillor",8,0.308756421927038
"deleg",2,0.307857944500684
"crosscut",4,0.307196495709902
"pitsaw",4,0.307196495709902
"hinder",3,0.307135609650252
"net",5,0.306638901678581
"undertak",9,0.304615650619125
"extrem",7,0.304207869888152
"tool",5,0.304141459016202
"find",7,0.304123653855708
"need",5,0.303515668184744
"design",8,0.303379247628005
"elsewher",8,0.303315233263627
"yoke",5,0.303211866486053
"chest",4,0.302299096138502
"chief",56,0.302227977359451
"pleas",6,0.302193939923472
"mention",33,0.301896502602467
"misunderstand",5,0.30122285948287
"intern",4,0.300762510417096
"procur",3,0.300331962519821
"inhabit",26,0.299969921762525
"larger",12,0.299362871961964
"commit",4,0.298674602077314
"expend",4,0.298539513539711
"heretofor",16,0.297245262453587
"court",4,0.297047983532363
"hereinaft",23,0.296680657211019
"arriv",6,0.296636150629938
"old",6,0.29647111173028
"mission",6,0.296273953377341
"privat",5,0.296157073283443
"colour",5,0.296034232665614
"prefer",5,0.294557146258319
"carpent",4,0.294364406978396
"territori",18,0.294212068312836
"depend",5,0.293778388002059
"annapoli",2,0.293560549503123
"boston",2,0.293560549503123
"chamber",2,0.293560549503123
"penobscot",2,0.293560549503123
"utmost",4,0.29345965413612
"adhes",7,0.293403388609547
"polic",6,0.292623472723804
"final",9,0.292055597331833
"prevent",6,0.291428163479139
"current",4,0.29125114059422
"lieu",4,0.291091215888281
"fifteen",13,0.290973550341554
"reserv",27,0.290802179539819
"ampl",3,0.290282806239728
"restitut",3,0.290282806239728
"number",23,0.290271438974227
"regiment",3,0.289948495900879
"deliv",20,0.28943960076832
"local",8,0.288483064174919
"juli",11,0.287782586864936
"seventyon",3,0.287363388848449
"wemyss",3,0.287363388848449
"everi",28,0.286675566666738
"abl",5,0.286576729708716
"transport",5,0.286269240351506
"feather",3,0.285734539291483
"exceed",13,0.285705867346474
"morri",4,0.285545814750613
"andrew",4,0.285345321608248
"parallel",10,0.285302573564099
"prison",3,0.285163042690877
"eastward",6,0.285033110195082
"sever",22,0.28498697247699
"martin",2,0.28420797904366
"wit",36,0.284161909391847
"farm",6,0.283665755927629
"accur",7,0.282888190543342
"assiniboin",3,0.282840486553649
"thereof",34,0.282390371530614
"endeavour",3,0.282023993510154
"told",5,0.280917705417901
"toward",4,0.279954571037948
"swan",3,0.279603965863726
"extinguish",10,0.279558406797364
"region",4,0.279340841346263
"trap",9,0.279287204752355
"settl",11,0.279249565837936
"consequ",4,0.278995909160646
"transfer",9,0.278456029175989
"manner",16,0.277665897906676
"liber",4,0.277459325735021
"deput",4,0.277292485311961
"area",11,0.277222638759939
"england",4,0.27681945265244
"sent",4,0.276736538712483
"previous",4,0.276492809519619
"special",8,0.276299150582199
"happen",5,0.275955556742555
"ask",5,0.274708209367807
"liabl",4,0.274657619697829
"prove",4,0.274541152305005
"get",4,0.273214180816653
"titl",27,0.273052627269512
"ojibewa",3,0.272326191724172
"exclus",6,0.272070947017791
"discov",3,0.27176338482251
"part",38,0.271446432616544
"power",11,0.271405849708158
"peac",16,0.27089870148123
"proportion",2,0.27080947834128
"fifteenth",8,0.270682386893336
"furnish",5,0.27054822495808
"communic",8,0.270535859701965
"faith",24,0.270389880990758
"injur",2,0.270279219154044
"jurisdict",2,0.270279219154044
"outrag",2,0.270279219154044
"quarrel",2,0.270279219154044
"redress",2,0.270279219154044
"reveng",2,0.270279219154044
"robberi",2,0.270279219154044
"traffic",2,0.270279219154044
"afterward",5,0.269870818980292
"desir",27,0.269603256743188
"copi",10,0.269165022266572
"lieutenantgovernor",4,0.269163038338916
"halifax",2,0.269123077348309
"enemi",4,0.26819928808416
"refus",3,0.268070182428766
"opposit",8,0.267935198777925
"decemb",5,0.266970741456357
"schedul",4,0.266935553845675
"contract",8,0.266830199106707
"soldier",3,0.265984271619289
"simpson",4,0.265967016351502
"parti",28,0.265499575652103
"public",11,0.265075858882707
"herewith",6,0.264666211055034
"admit",5,0.26448882884287
"regul",11,0.264156388166244
"sourc",7,0.263786116225476
"sixtieth",3,0.263636329204111
"mckay",4,0.263610054702925
"open",21,0.262189983820863
"help",4,0.262154218182102
"begun",3,0.261902587529633
"leav",6,0.261751547032496
"connect",9,0.261717580393499
"acknowledg",34,0.261325539963173
"rais",5,0.26123997942159
"robinson",4,0.260872128124258
"feel",5,0.260819931610797
"accompani",5,0.260733658557452
"extens",5,0.260730570741903
"vizt",2,0.259765623962932
"quantiti",5,0.259149917457042
"imposs",5,0.258341092309593
"lodg",2,0.258292153580982
"soever",3,0.2582395855048
"subordin",3,0.2582395855048
"abandon",3,0.258151466710203
"frontier",3,0.258137071897528
"contrari",2,0.257816418105868
"will",30,0.257556945539192
"garri",3,0.257488973058317
"powder",2,0.257062682206836
"shot",2,0.257062682206836
"saulteaux",4,0.256731474159308
"miner",3,0.256103461272521
"swampi",3,0.255912901383639
"duti",4,0.255797574467659
"later",5,0.254509157324057
"display",4,0.254325286275506
"mind",4,0.254325286275506
"royal",6,0.254110811232892
"flow",4,0.253865912449829
"francoi",2,0.253651496092598
"successor",34,0.253523554413517
"action",4,0.253485594203759
"otherwis",26,0.253472484653444
"instant",3,0.253311382438515
"legisl",3,0.253114092507721
"cow",7,0.253087133573259
"enjoy",13,0.252928779655783
"view",13,0.252740418218356
"paid",26,0.252587907789032
"adher",5,0.252139753488789
"elect",5,0.251939505354874
"halfbre",6,0.251741511421408
"lac",4,0.251237695674981
"teacher",6,0.251203416022052
"journey",4,0.251039810241979
"littl",7,0.250667696629967
"vocat",5,0.250338526789586
"import",5,0.250248999453781
"opportun",4,0.249637983156833
"whetston",4,0.24930169221221
"discuss",4,0.249093434487463
"take",11,0.248741382671362
"subsist",4,0.248501758467666
"middl",4,0.248486847576785
"back",6,0.247960052116816
"churchil",3,0.247945767201088
"augment",3,0.247238352684036
"cap",3,0.247238352684036
"charter",3,0.247238352684036
"differ",12,0.246859132532865
"sick",4,0.246824443778126
"ste",2,0.246361187732477
"break",4,0.246194799463585
"assort",2,0.246120931382409
"futur",10,0.2458450503416
"annuiti",12,0.245366023569231
"valuabl",7,0.245279406692381
"product",3,0.245099071148737
"delay",4,0.244440353773585
"earnest",3,0.244395638693203
"acadi",2,0.244206411044607
"mouth",23,0.244198189817387
"negoti",13,0.244088612293819
"necess",4,0.243805458390669
"urg",3,0.243330043019911
"common",7,0.243248087905995
"endeavor",2,0.243155641932704
"notic",4,0.243071579000581
"rout",4,0.242855719588825
"troubl",16,0.242802059118027
"explor",2,0.242788790738536
"gros",2,0.242788790738536
"search",2,0.242788790738536
"destitut",4,0.242786112015967
"took",3,0.2427219523864
"pigeon",3,0.242465143223292
"render",5,0.242427053198903
"attempt",3,0.242251988272309
"meki",2,0.242224869712347
"look",4,0.242182079406879
"heir",29,0.241662794414463
"perfect",6,0.241509895828521
"provinci",5,0.241333130311485
"consult",3,0.240938202816753
"proviso",3,0.240938202816753
"forward",3,0.240832441848171
"gabriel",2,0.240815297507441
"supervis",4,0.240640396747035
"ellic",2,0.24060370440733
"fulli",24,0.240459570716457
"ensu",7,0.240268143441322
"likewis",4,0.2402002065348
"ratif",3,0.240107950125299
"adopt",3,0.240033039237519
"occas",5,0.239822874895932
"medic",4,0.239472332503707
"due",20,0.239386046403039
"servic",8,0.239280461237876
"aid",8,0.239182202527542
"near",20,0.237278674328025
"end",11,0.236572413203374
"dress",4,0.236516647524567
"shipwreck",2,0.236429868204693
"tri",2,0.236429868204693
"latitud",5,0.236263642844264
"educ",4,0.236218512726508
"king",31,0.235790791836755
"owe",4,0.235469378027835
"attent",4,0.235197792104333
"instead",3,0.233897202610242
"foot",6,0.233772608065379
"short",3,0.233438226027715
"thirtytwo",3,0.233227284260674
"better",4,0.232812401013019
"subsequ",3,0.232532575509195
"success",4,0.232397717523074
"twentyfifth",4,0.232172606265531
"step",3,0.232165807199716
"becam",3,0.231922393683342
"experienc",3,0.231550474967551
"greater",4,0.231521321817965
"forev",30,0.231502735150863
"gratuiti",3,0.2306018574537
"draw",4,0.230452616247317
"justic",13,0.229776963761903
"bank",17,0.229770893175124
"behind",2,0.229616795814013
"baptist",2,0.229516146981989
"encount",3,0.22921190781939
"annex",11,0.228986509127097
"christi",4,0.228976444898169
"option",3,0.228463399933395
"judicatur",2,0.228114088153864
"resort",2,0.228114088153864
"scott",3,0.228087244010641
"visit",4,0.227930569411677
"twentyseventh",3,0.227819804368615
"testimoni",4,0.227812461979246
"tract",37,0.227728410878702
"abil",2,0.227588690439999
"sit",2,0.227588690439999
"walk",2,0.227588690439999
"keep",6,0.226917828240055
"presenc",26,0.226735386021737
"renew",2,0.226033543404832
"suffici",7,0.225965056234017
"idl",3,0.225267717546934
"purpos",27,0.225201488567833
"readi",4,0.225152996540824
"secretari",3,0.225138122966467
"memorandum",9,0.224583052993181
"begin",27,0.224560202217528
"forth",13,0.224302606861959
"express",11,0.224074437689234
"american",2,0.223779707125681
"knowledg",3,0.22367537586333
"desert",2,0.223434046136739
"press",3,0.223415348363431
"southwestward",2,0.223045233451919
"unabl",4,0.222652407114431
"mari",5,0.222208543903209
"boat",3,0.221958063707771
"ago",3,0.221941353490577
"expect",7,0.22188068454387
"charact",4,0.221345454961817
"superior",7,0.221127714963737
"interpret",10,0.219894006485306
"alia",1,0.219867674758326
"arexus",1,0.219867674758326
"attest",1,0.219867674758326
"britannica",1,0.219867674758326
"duodecimo",1,0.219867674758326
"georgii",1,0.219867674758326
"injuri",1,0.219867674758326
"loron",1,0.219867674758326
"magna",1,0.219867674758326
"massachusett",1,0.219867674758326
"meganumb",1,0.219867674758326
"naudgewaek",1,0.219867674758326
"regi",1,0.219867674758326
"regni",1,0.219867674758326
"sanguaarum",1,0.219867674758326
"sec",1,0.219867674758326
"utrecht",1,0.219867674758326
"williard",1,0.219867674758326
"xavier",1,0.219867674758326
"januari",3,0.219770645530262
"sault",4,0.219496563075366
"consist",4,0.219443703453111
"exchang",2,0.219423686449061
"grain",2,0.219344305450796
"reliev",3,0.218788076882316
"winter",4,0.218309438171033
"accadi",1,0.218243696768533
"admir",1,0.218243696768533
"bread",1,0.218243696768533
"buri",1,0.218243696768533
"cherish",1,0.218243696768533
"chibenaccadi",1,0.218243696768533
"cope",1,0.218243696768533
"cornwal",1,0.218243696768533
"correspond",1,0.218243696768533
"defenc",1,0.218243696768533
"flour",1,0.218243696768533
"fowl",1,0.218243696768533
"hadley",1,0.218243696768533
"harmoni",1,0.218243696768533
"hatchet",1,0.218243696768533
"hopson",1,0.218243696768533
"interchang",1,0.218243696768533
"jean",1,0.218243696768533
"jeremiah",1,0.218243696768533
"mack",1,0.218243696768533
"merchand",1,0.218243696768533
"mick",1,0.218243696768533
"norridgwolk",1,0.218243696768533
"nov",1,0.218243696768533
"oblivion",1,0.218243696768533
"obstruct",1,0.218243696768533
"peregrin",1,0.218243696768533
"reiter",1,0.218243696768533
"salvag",1,0.218243696768533
"skin",1,0.218243696768533
"tobacco",1,0.218243696768533
"truckhous",1,0.218243696768533
"vice",1,0.218243696768533
"eastern",14,0.21800589921308
"cumberland",2,0.217733904814155
"therewith",2,0.217733904814155
"board",5,0.21722058938833
"garden",3,0.217137844200716
"inland",3,0.217001828484797
"georg",26,0.21685238790539
"unless",6,0.216405904426151
"therefrom",11,0.216193405444943
"answer",3,0.215840182673308
"experi",3,0.215840182673308
"storm",2,0.215478447908854
"whitefish",2,0.215421527334323
"think",5,0.215234716943126
"har",2,0.21517799391376
"medicin",4,0.215126231704055
"last",16,0.215023279081868
"establish",8,0.214023058563183
"green",2,0.213836268391896
"squar",16,0.213826627752707
"lord",34,0.213510232929507
"ceas",3,0.21296792318878
"britain",23,0.212921229268686
"walsh",2,0.212661637752034
"firm",2,0.212426334342478
"higher",2,0.212426334342478
"represent",2,0.212426334342478
"four",23,0.211858564079042
"leas",8,0.211579222521381
"divid",4,0.211513091354888
"honor",11,0.211117689839251
"hay",4,0.210841965260052
"curtail",3,0.210678140473889
"whatev",12,0.210493544370326
"came",4,0.210318725336523
"troop",2,0.20992985770625
"print",3,0.209666619481323
"junction",5,0.209314442963366
"appreci",3,0.209168418392707
"mcmurray",3,0.209168418392707
"march",5,0.208727632321051
"fisher",2,0.208496337070913
"expenditur",3,0.207981642850713
"indic",9,0.206950575493803
"esqr",2,0.206901807630174
"attend",8,0.206513241493812
"navig",5,0.20643267719292
"polici",3,0.206425455793286
"exist",3,0.206421732874731
"mackenzi",2,0.206402392462305
"vicin",6,0.206255513202168
"give",21,0.206245707960318
"laird",4,0.205825112871201
"cost",3,0.205618251630823
"acquaint",2,0.205016536511645
"certif",2,0.205016536511645
"complaint",2,0.205016536511645
"cut",2,0.205016536511645
"destroy",2,0.205016536511645
"enslav",2,0.205016536511645
"neighbour",2,0.205016536511645
"spirit",2,0.205016536511645
"fear",4,0.204919187205677
"shell",2,0.204889266850436
"certain",32,0.204701802505801
"behalf",38,0.204586811735395
"forc",16,0.204407389985735
"shall",47,0.203995165458208
"unusu",3,0.203327649168326
"hereto",11,0.203138170577138
"choic",3,0.202963205956719
"speak",3,0.2029579935726
"wait",3,0.2029579935726
"state",14,0.202790330358709
"interf",3,0.202352726439487
"strong",3,0.202352726439487
"christian",5,0.202263841357013
"boar",2,0.202208965793856
"sow",2,0.202208965793856
"lordship",3,0.202176380360757
"equip",3,0.20195784944457
"exclud",3,0.201908508539818
"intercours",3,0.201407673423323
"nos",5,0.200786871215745
"beren",2,0.200714370883028
"fall",11,0.200649801765672
"got",3,0.200255266350344
"religi",3,0.200255266350344
"seven",24,0.200172145426939
"man",13,0.199926395436351
"seed",3,0.199788296520998
"fox",2,0.19963253023133
"implement",3,0.199368440493936
"advanc",4,0.199092053170799
"consider",36,0.19903259296864
"cypress",2,0.198889835910567
"discret",2,0.198883252860271
"michel",2,0.198731888554445
"reward",3,0.197978786980665
"undersign",14,0.197945194473193
"pursuit",3,0.197912302886606
"locat",9,0.197544217558975
"waterhen",2,0.19732596062717
"second",15,0.197319854172627
"confin",5,0.197224155769346
"earli",3,0.196189646854302
"week",3,0.196134955889694
"gull",2,0.196063554333113
"duplic",3,0.195363803483891
"confer",6,0.195202290028698
"ireland",22,0.195024873685046
"third",30,0.194942930472055
"reign",13,0.194931570906234
"franci",4,0.194904707579829
"can",10,0.194629771197058
"perman",3,0.194568073214768
"forfeit",2,0.194485249307502
"railway",4,0.194462351920661
"mair",2,0.194050638975544
"detail",3,0.193970597255333
"intellig",3,0.193970597255333
"knew",3,0.193787775724042
"thus",3,0.193787775724042
"concern",5,0.193761031589819
"evid",3,0.193274151767413
"initi",2,0.193087436787217
"far",10,0.192319733361679
"outsid",3,0.192090760221549
"next",12,0.191629512891284
"mcdonald",2,0.191425830082016
"even",4,0.191377882436345
"buffalo",2,0.190997722626981
"must",5,0.190418775922982
"absenc",3,0.190163626006279
"earn",3,0.190163626006279
"group",3,0.190163626006279
"log",3,0.190163626006279
"simpli",3,0.190163626006279
"stretch",3,0.190163626006279
"benjamin",4,0.190047505317641
"bird",2,0.18996939659589
"soil",9,0.189223872214251
"sir",9,0.189213324891774
"long",9,0.189210600916845
"lieut",2,0.189144891219865
"present",42,0.188785407651969
"seventh",10,0.188687605244433
"prevail",4,0.188639478888383
"hall",3,0.188376937024442
"militari",3,0.188312916405243
"hostag",2,0.188244614105098
"afford",3,0.187817888352644
"almost",3,0.186787589698952
"method",3,0.186787589698952
"appris",2,0.186772340516117
"arduous",2,0.186772340516117
"athabaska",2,0.186772340516117
"bad",2,0.186772340516117
"danger",2,0.186772340516117
"effort",2,0.186772340516117
"factor",2,0.186772340516117
"guarante",2,0.186772340516117
"nonalien",2,0.186772340516117
"severalti",2,0.186772340516117
"summari",2,0.186772340516117
"unfavour",2,0.186772340516117
"grant",29,0.186516765939436
"gather",3,0.186367934854234
"preliminari",3,0.186313331247224
"lack",3,0.186307042481281
"branch",7,0.186144030308012
"charl",7,0.186109175764578
"colonel",4,0.186094333051922
"princ",2,0.185911503397593
"aborigin",2,0.185858224847023
"devot",2,0.185858224847023
"bishop",3,0.185633568304371
"amongst",3,0.185542088451841
"sold",32,0.185042724943979
"richard",2,0.184952698806497
"conclus",3,0.18470188217206
"lay",10,0.184671199571664
"anticip",2,0.184559424597364
"autumn",2,0.184559424597364
"began",2,0.184559424597364
"celebr",2,0.184559424597364
"commerci",2,0.184559424597364
"compel",2,0.184559424597364
"destin",2,0.184559424597364
"food",2,0.184559424597364
"frank",2,0.184559424597364
"gentlemen",2,0.184559424597364
"gratitud",2,0.184559424597364
"holiday",2,0.184559424597364
"hour",2,0.184559424597364
"light",2,0.184559424597364
"paddl",2,0.184559424597364
"postpon",2,0.184559424597364
"repeat",2,0.184559424597364
"spent",2,0.184559424597364
"stead",2,0.184559424597364
"supt",2,0.184559424597364
"system",2,0.184559424597364
"talk",2,0.184559424597364
"track",2,0.184559424597364
"via",2,0.184559424597364
"announc",2,0.184048103204278
"night",2,0.184048103204278
"resolut",3,0.183870663951536
"birch",2,0.183674527448482
"hand",34,0.183648552822592
"rather",3,0.183167934459911
"apprehens",2,0.183039304700454
"indulg",2,0.183039304700454
"judg",2,0.183039304700454
"acquir",1,0.18291568019425
"ahmutchiwagabou",1,0.18291568019425
"batchewana",1,0.18291568019425
"chiginan",1,0.18291568019425
"iuinway",1,0.18291568019425
"jacob",1,0.18291568019425
"kiminitiquia",1,0.18291568019425
"manitshains",1,0.18291568019425
"michipicoton",1,0.18291568019425
"mishemuckqua",1,0.18291568019425
"mishimuckqua",1,0.18291568019425
"nipigon",1,0.18291568019425
"peandechat",1,0.18291568019425
"shelageshick",1,0.18291568019425
"totomenci",1,0.18291568019425
"totominai",1,0.18291568019425
"warpela",1,0.18291568019425
"although",3,0.18244227979118
"necessari",16,0.182180059017796
"nontreati",2,0.182033721616393
"twentieth",2,0.182033721616393
"satisfactori",2,0.18200413966238
"pursuant",12,0.18183271900314
"cano",2,0.181724652282588
"fortun",2,0.1816422201052
"fur",2,0.1816422201052
"relianc",2,0.1816422201052
"reverend",2,0.1816422201052
"suggest",2,0.1816422201052
"eri",4,0.181495063749197
"nelson",2,0.18141505856781
"edmonton",2,0.181360887277194
"seventysix",4,0.181318425081117
"constant",2,0.181099229304094
"poor",2,0.181099229304094
"fish",17,0.180926921928772
"fourteenth",2,0.180788407720316
"mode",2,0.180497699905727
"weather",2,0.180497699905727
"william",20,0.180280683281372
"ear",1,0.180153183481615
"fairford",1,0.180153183481615
"fallen",1,0.180153183481615
"finger",1,0.180153183481615
"franoi",1,0.180153183481615
"giroux",1,0.180153183481615
"keweetahquunnayash",1,0.180153183481615
"lastment",1,0.180153183481615
"masahkeeyash",1,0.180153183481615
"neighbor",1,0.180153183481615
"northernmost",1,0.180153183481615
"ride",1,0.180153183481615
"sousonc",1,0.180153183481615
"sousons",1,0.180153183481615
"winnepegosi",1,0.180153183481615
"woodhous",1,0.180153183481615
"dauphin",1,0.180153183481614
"minist",10,0.180002086610378
"commerc",3,0.179811342831939
"delight",2,0.179553372391652
"doctor",2,0.179553372391652
"fine",2,0.179553372391652
"messr",2,0.179553372391652
"monday",2,0.179553372391652
"oliv",2,0.179553372391652
"room",2,0.179553372391652
"rough",2,0.179525270540405
"excit",2,0.179399215654962
"ont",2,0.179399215654962
"support",2,0.179254652690237
"glad",2,0.17890917884315
"anno",2,0.178907415184259
"repres",21,0.178755664599237
"difficult",3,0.178553310353064
"put",8,0.178432123525457
"channel",2,0.178380372153715
"despatch",2,0.178241461726014
"chang",3,0.17819278665733
"born",2,0.178160434923102
"brother",2,0.178160434923102
"felt",2,0.178160434923102
"fill",2,0.178160434923102
"finish",2,0.178160434923102
"revillon",2,0.178160434923102
"train",2,0.178160434923102
"cent",2,0.177676953759774
"entrust",2,0.177676953759774
"moos",3,0.177652533123239
"never",7,0.177515040279613
"whenev",7,0.17725848381901
"johnson",4,0.176598778969617
"went",2,0.176253298102058
"entertain",2,0.17550244364397
"fail",2,0.17550244364397
"vest",2,0.17550244364397
"trader",3,0.175409764858326
"herein",16,0.175282269591226
"seul",2,0.175177461557832
"sell",20,0.17510210664348
"hospit",2,0.174605637404325
"peter",2,0.174555784675611
"pledg",2,0.174555784675611
"friendship",5,0.174471425936736
"hors",2,0.174460578882672
"regina",2,0.174460578882672
"dogrib",2,0.174244921519741
"parent",2,0.174078448601846
"harri",2,0.174014306739559
"written",17,0.173894023330823
"septemb",17,0.173867462620414
"seal",32,0.173763179754972
"cochran",2,0.173637592015885
"place",33,0.17356076285929
"comfort",2,0.173357509985223
"start",2,0.173357509985223
"associ",2,0.173164834748029
"dimens",2,0.173164834748029
"earlier",2,0.173164834748029
"store",2,0.173164834748029
"plantat",2,0.172739097205332
"without",15,0.172625580038894
"vast",2,0.172625094985997
"argument",2,0.172440710192801
"chariti",2,0.172440710192801
"fed",2,0.172440710192801
"figur",2,0.172440710192801
"hunter",2,0.172440710192801
"indig",2,0.172440710192801
"intim",2,0.172440710192801
"irrespect",2,0.172440710192801
"leader",2,0.172440710192801
"notion",2,0.172440710192801
"oratori",2,0.172440710192801
"physician",2,0.172440710192801
"prairi",2,0.172440710192801
"pretti",2,0.172440710192801
"unfortun",2,0.172440710192801
"mckenna",2,0.172440710192801
"depth",4,0.17241839026311
"pelli",2,0.172151542246492
"wood",21,0.172150844760731
"apprehend",2,0.172040628760753
"armi",2,0.172040628760753
"prejudic",2,0.172040628760753
"true",4,0.172000422033976
"known",27,0.171791516568777
"alberta",2,0.171635755636104
"remov",5,0.171446996561581
"gone",3,0.171287559133389
